item_name,item_key_norm,predicted_count,gold_count,TP,FP,FN,predicted_tokens,gold_tokens,tp_tokens,fp_tokens,fn_tokens
นาฏ ณ วัง,นาฏ ณ วัง,5,5,5,0,0,"พระราชวังบวรสถานมงคล, วังหน้า, หนังใหญ่, เคลื่อนไหว, เวที","พระราชวังบวรสถานมงคล, วังหน้า, หนังใหญ่, เคลื่อนไหว, เวที","พระราชวังบวรสถานมงคล, วังหน้า, หนังใหญ่, เคลื่อนไหว, เวที",,
นาฏยมวยไทย,นาฏยมวยไทย,5,5,5,0,0,"บรรพบุรุษ, ป้องกันตัว, มวยโบราณ, มวยไทย, ศิลปะป้องกันตัว","บรรพบุรุษ, ป้องกันตัว, มวยโบราณ, มวยไทย, ศิลปะป้องกันตัว","บรรพบุรุษ, ป้องกันตัว, มวยโบราณ, มวยไทย, ศิลปะป้องกันตัว",,
ผืนไท,ผืนไท,7,6,6,1,0,"ธงไทย, นักษัตร, พระมหากษัตริย์, อาณาประชาราษฎร์, เคลื่อนไหว, เวที, ไตรรงค์","ธงไทย, พระมหากษัตริย์, อาณาประชาราษฎร์, เคลื่อนไหว, เวที, ไตรรงค์","ธงไทย, พระมหากษัตริย์, อาณาประชาราษฎร์, เคลื่อนไหว, เวที, ไตรรงค์",นักษัตร,
พนาธาร,พนาธาร,2,2,2,0,0,"ของป่า, เคลื่อนไหว","ของป่า, เคลื่อนไหว","ของป่า, เคลื่อนไหว",,
พลองไม้สั้น,พลองไม้สั้น,10,10,9,1,1,"กระทุ้ง, การต่อสู้, คู่ต่อสู้, ตัวต่อตัว, ต่อสู้, ประชิดตัว, ลูกไม้, สีน้ำเงิน, อาวุธ, ไม้สั้น","กระทุ้ง, การต่อสู้, คู่ต่อสู้, ตัวต่อตัว, ต่อสู้, ประชิดตัว, ลูกไม้, สีนํ้าเงิน, อาวุธ, ไม้สั้น","กระทุ้ง, การต่อสู้, คู่ต่อสู้, ตัวต่อตัว, ต่อสู้, ประชิดตัว, ลูกไม้, อาวุธ, ไม้สั้น",สีน้ำเงิน,สีนํ้าเงิน
ฟ้อนขันดอก,ฟ้อนขันดอก,6,5,5,1,0,"กระบวนท่ารำ, การโปรย, ขันดอก, ดอกไม้, ภาคเหนือ, ล้านนา","การโปรย, ขันดอก, ดอกไม้, ภาคเหนือ, ล้านนา","การโปรย, ขันดอก, ดอกไม้, ภาคเหนือ, ล้านนา",กระบวนท่ารำ,
ฟ้อนจันทราพาฝัน,ฟ้อนจันทราพาฝัน,11,9,9,2,0,"ชาวพื้นเมือง, ชาวเหนือ, ทำนอง, ทำนองเพลง, ท่วงทำนอง, บทร้อง, ศิลปินแห่งชาติ, หญิงสาว, เพลงลาวคำหอม, เพลงไทย, แสงจันทร์","ชาวเหนือ, ทำนอง, ทำนองเพลง, ท่วงทำนอง, บทร้อง, ศิลปินแห่งชาติ, หญิงสาว, เพลงลาวคำหอม, แสงจันทร์","ชาวเหนือ, ทำนอง, ทำนองเพลง, ท่วงทำนอง, บทร้อง, ศิลปินแห่งชาติ, หญิงสาว, เพลงลาวคำหอม, แสงจันทร์","ชาวพื้นเมือง, เพลงไทย",
ฟ้อนดวงเดือน,ฟ้อนดวงเดือน,9,8,8,1,0,"การเกี้ยวพาราสี, คำร้อง, ชายหนุ่ม, ทำนอง, พระนิพนธ์, สำเนียง, หญิงสาว, เพลงอัตราจังหวะสองชั้น, เพลงไทย","การเกี้ยวพาราสี, คำร้อง, ชายหนุ่ม, ทำนอง, พระนิพนธ์, สำเนียง, หญิงสาว, เพลงอัตราจังหวะสองชั้น","การเกี้ยวพาราสี, คำร้อง, ชายหนุ่ม, ทำนอง, พระนิพนธ์, สำเนียง, หญิงสาว, เพลงอัตราจังหวะสองชั้น",เพลงไทย,
ฟ้อนที,ฟ้อนที,5,3,3,2,0,"ชาวพื้นเมือง, ดนตรีพื้นบ้าน, ดนตรีไทย, ภาคเหนือ, แม่ฮ่องสอน","ดนตรีพื้นบ้าน, ภาคเหนือ, แม่ฮ่องสอน","ดนตรีพื้นบ้าน, ภาคเหนือ, แม่ฮ่องสอน","ชาวพื้นเมือง, ดนตรีไทย",
ฟ้อนผาง,ฟ้อนผาง,6,5,5,1,0,"จุดไฟ, ชาวพื้นเมือง, ผางประทีป, ภาคเหนือ, ภาชนะดินเผา, ล้านนา","จุดไฟ, ผางประทีป, ภาคเหนือ, ภาชนะดินเผา, ล้านนา","จุดไฟ, ผางประทีป, ภาคเหนือ, ภาชนะดินเผา, ล้านนา",ชาวพื้นเมือง,
ฟ้อนภูไท,ฟ้อนภูไท,11,9,8,3,1,"กาฬสินธุ์, ชาวพื้นเมือง, ชาวภูไท, นครพนม, มุกดาหาร, สกลนคร, สายสืบ, เคลื่อนไหว, เทือกเขาภูพาน, แม่น้ำ, แม่น้ำโขง","กาฬสินธุ์, ชาวภูไท, นครพนม, มุกดาหาร, สกลนคร, สายสืบ, เคลื่อนไหว, เทือกเขาภูพาน, แม่นํ้าโขง","กาฬสินธุ์, ชาวภูไท, นครพนม, มุกดาหาร, สกลนคร, สายสืบ, เคลื่อนไหว, เทือกเขาภูพาน","ชาวพื้นเมือง, แม่น้ำ, แม่น้ำโขง",แม่นํ้าโขง
ฟ้อนภูไท 3 เผ่า,ฟ้อนภูไท 3 เผ่า,11,9,9,2,0,"การเกี้ยวพาราสี, กาฬสินธุ์, ชาวพื้นเมือง, ชาวภูไท, ต่อสู้, นครพนม, มวยโบราณ, มวยไทย, สกลนคร, เชิงมวย, เทือกเขาภูพาน","การเกี้ยวพาราสี, กาฬสินธุ์, ชาวภูไท, ต่อสู้, นครพนม, มวยโบราณ, สกลนคร, เชิงมวย, เทือกเขาภูพาน","การเกี้ยวพาราสี, กาฬสินธุ์, ชาวภูไท, ต่อสู้, นครพนม, มวยโบราณ, สกลนคร, เชิงมวย, เทือกเขาภูพาน","ชาวพื้นเมือง, มวยไทย",
ฟ้อนมาลัย,ฟ้อนมาลัย,15,21,14,1,7,"กรมศิลปากร, ข้าหลวง, ชั้นเดียว, ทำนอง, ทำนองเพลง, น้อยใจยา, พญาผานอง, พระชายา, ราชสำนัก, ละครพันทาง, สำเนียง, เจ้าดารารัศมี, เพลงสำเนียงลาว, เพลงไทย, โรงละครแห่งชาติ","กรมศิลปากร, ข้าหลวง, ชั้นเดียว, ดอกไม้, ทำนอง, ทำนองเพลง, นางพญาคำปิน, น้อยใจยา, บทร้อง, พญาผานอง, พระชายา, พระบาทสมเด็จพระจุลจอมเกล้าเจ้าอยู่หัว, ราชสำนัก, ละครพันทาง, สำเนียง, อาจารย์, เจ้าดารารัศมี, เชียงใหม่, เพลงฟ้อนดวงดอกไม้, เพลงสำเนียงลาว, โรงละครแห่งชาติ","กรมศิลปากร, ข้าหลวง, ชั้นเดียว, ทำนอง, ทำนองเพลง, น้อยใจยา, พญาผานอง, พระชายา, ราชสำนัก, ละครพันทาง, สำเนียง, เจ้าดารารัศมี, เพลงสำเนียงลาว, โรงละครแห่งชาติ",เพลงไทย,"ดอกไม้, นางพญาคำปิน, บทร้อง, พระบาทสมเด็จพระจุลจอมเกล้าเจ้าอยู่หัว, อาจารย์, เชียงใหม่, เพลงฟ้อนดวงดอกไม้"
ฟ้อนรัก,ฟ้อนรัก,15,17,14,1,3,"ท้าวพิชัยพิษณุกร, นักษัตร, นางรื่น, นางโรย, นายแก้ว, บทร้อง, พระนิพนธ์, พระพี่เลี้ยง, พระราชธิดา, พระลอ, พระเจ้าบรมวงศ์เธอกรมพระนราธิปประพันธ์พงศ์, พระเพื่อน, พระแพง, ละครพันทาง, ลิลิตพระลอ","ท้าวพิชัยพิษณุกร, นางรื่น, นางโรย, นายขวัญ, นายแก้ว, บทร้อง, พระนิพนธ์, พระพี่เลี้ยง, พระราชธิดา, พระลอ, พระเจ้าบรมวงศ์เธอกรมพระนราธิปประพันธ์พงศ์, พระเพื่อน, พระแพง, พี่เลี้ยง, ละครพันทาง, ลิลิตพระลอ, แมนสรวง","ท้าวพิชัยพิษณุกร, นางรื่น, นางโรย, นายแก้ว, บทร้อง, พระนิพนธ์, พระพี่เลี้ยง, พระราชธิดา, พระลอ, พระเจ้าบรมวงศ์เธอกรมพระนราธิปประพันธ์พงศ์, พระเพื่อน, พระแพง, ละครพันทาง, ลิลิตพระลอ",นักษัตร,"นายขวัญ, พี่เลี้ยง, แมนสรวง"
ฟ้อนลีลาวดี,ฟ้อนลีลาวดี,6,4,4,2,0,"ดนตรีพื้นบ้าน, ดนตรีไทย, ต้นลีลาวดี, พระอุโบสถ, วังหน้า, สุทธาวาส","ต้นลีลาวดี, พระอุโบสถ, วังหน้า, สุทธาวาส","ต้นลีลาวดี, พระอุโบสถ, วังหน้า, สุทธาวาส","ดนตรีพื้นบ้าน, ดนตรีไทย",
ฟ้อนสาวไหม,ฟ้อนสาวไหม,10,7,7,3,0,"การทอ, ดนตรีพื้นบ้าน, ดนตรีไทย, ทอผ้า, ผ้าไหม, ภาคเหนือ, สะล้อ, เครื่องดนตรีพื้นบ้าน, เครื่องดนตรีพื้นเมือง, เพลงไทย","การทอ, ดนตรีพื้นบ้าน, ทอผ้า, ผ้าไหม, ภาคเหนือ, สะล้อ, เครื่องดนตรีพื้นบ้าน","การทอ, ดนตรีพื้นบ้าน, ทอผ้า, ผ้าไหม, ภาคเหนือ, สะล้อ, เครื่องดนตรีพื้นบ้าน","ดนตรีไทย, เครื่องดนตรีพื้นเมือง, เพลงไทย",
ฟ้อนหมากกั๊บแก๊บลำเพลิน,ฟ้อนหมากกั๊บแก๊บลำเพลิน,15,11,10,5,1,"การขับร้อง, ขับร้อง, ชาวพื้นเมือง, ดนตรีพื้นบ้าน, ดนตรีไทย, ฟันปลา, ภาคอีสาน, ลำเพลิน, หมากกั๊บแก๊บ, หยอกล้อ, อีสาน, เครื่องดนตรีพื้นบ้าน, เครื่องดนตรีพื้นเมือง, ไม้ยาว, ไม้สั้น","การขับร้อง, ขับร้อง, ดนตรีพื้นบ้าน, ฟันปลา, ภาคอีสาน, ลําเพลิน, หมากกั๊บแก๊บ, หยอกล้อ, อีสาน, ไม้ยาว, ไม้สั้น","การขับร้อง, ขับร้อง, ดนตรีพื้นบ้าน, ฟันปลา, ภาคอีสาน, หมากกั๊บแก๊บ, หยอกล้อ, อีสาน, ไม้ยาว, ไม้สั้น","ชาวพื้นเมือง, ดนตรีไทย, ลำเพลิน, เครื่องดนตรีพื้นบ้าน, เครื่องดนตรีพื้นเมือง",ลําเพลิน
ฟ้อนเจิง,ฟ้อนเจิง,7,6,6,1,0,"การต่อสู้, ชาวพื้นเมือง, ต่อสู้, ภาคเหนือ, มือเปล่า, ล้านนา, อาวุธ","การต่อสู้, ต่อสู้, ภาคเหนือ, มือเปล่า, ล้านนา, อาวุธ","การต่อสู้, ต่อสู้, ภาคเหนือ, มือเปล่า, ล้านนา, อาวุธ",ชาวพื้นเมือง,
ฟ้อนเทียน,ฟ้อนเทียน,6,5,5,1,0,"กลางคืน, จุดไฟ, ภาคเหนือ, หญิงสาว, เคลื่อนไหว, เพลงไทย","กลางคืน, จุดไฟ, ภาคเหนือ, หญิงสาว, เคลื่อนไหว","กลางคืน, จุดไฟ, ภาคเหนือ, หญิงสาว, เคลื่อนไหว",เพลงไทย,
ฟ้อนเล็บ,ฟ้อนเล็บ,4,3,3,1,0,"บทร้อง, ภาคเหนือ, สีทอง, เพลงไทย","บทร้อง, ภาคเหนือ, สีทอง","บทร้อง, ภาคเหนือ, สีทอง",เพลงไทย,
มวยคาดเชือก,มวยคาดเชือก,7,5,5,2,0,"การต่อสู้, ความคล่องแคล่ว, ต่อสู้, มวยโบราณ, มวยไทย, รับใช้, แม่ไม้มวย","การต่อสู้, ต่อสู้, มวยไทย, รับใช้, แม่ไม้มวย","การต่อสู้, ต่อสู้, มวยไทย, รับใช้, แม่ไม้มวย","ความคล่องแคล่ว, มวยโบราณ",
รจนาเสี่ยงพวงมาลัย,รจนาเสี่ยงพวงมาลัย,15,15,15,0,0,"นางเอก, บทละคร, บุปเพสันนิวาส, พระสังข์, พระเอก, พวงมาลัย, รจนา, รูปทอง, รูปนอก, สวามี, สังข์ทอง, เจ้าหญิง, เจ้าเงาะ, แกล้งทำ, แปลงตัว","นางเอก, บทละคร, บุปเพสันนิวาส, พระสังข์, พระเอก, พวงมาลัย, รจนา, รูปทอง, รูปนอก, สวามี, สังข์ทอง, เจ้าหญิง, เจ้าเงาะ, แกล้งทำ, แปลงตัว","นางเอก, บทละคร, บุปเพสันนิวาส, พระสังข์, พระเอก, พวงมาลัย, รจนา, รูปทอง, รูปนอก, สวามี, สังข์ทอง, เจ้าหญิง, เจ้าเงาะ, แกล้งทำ, แปลงตัว",,
รองเง็ง,รองเง็ง,7,4,4,3,0,"การละเล่นพื้นเมือง, ค้าขาย, งานรื่นเริง, ชาวพื้นเมือง, ภาคใต้, มลายู, โปรตุเกส","ค้าขาย, งานรื่นเริง, มลายู, โปรตุเกส","ค้าขาย, งานรื่นเริง, มลายู, โปรตุเกส","การละเล่นพื้นเมือง, ชาวพื้นเมือง, ภาคใต้",
ระบำกรับ,ระบำกรับ,11,7,7,4,0,"กรับพวง, ดนตรีพื้นบ้าน, ดนตรีไทย, ต้นขา, ทำนอง, ท่วงทำนอง, ฝ่ามือ, มือขวา, เครื่องดนตรีพื้นบ้าน, เครื่องดนตรีพื้นเมือง, เพลงไทย","กรับพวง, ดนตรีไทย, ต้นขา, ทำนอง, ท่วงทำนอง, ฝ่ามือ, มือขวา","กรับพวง, ดนตรีไทย, ต้นขา, ทำนอง, ท่วงทำนอง, ฝ่ามือ, มือขวา","ดนตรีพื้นบ้าน, เครื่องดนตรีพื้นบ้าน, เครื่องดนตรีพื้นเมือง, เพลงไทย",
ระบำกฤดาภินิหาร,ระบำกฤดาภินิหาร,9,9,9,0,0,"กรมศิลปากร, การสอน, นางฟ้า, บทร้อง, ยมะ, ศุภลักษณ์, สากล, เกียรติศักดิ์ไทย, เทวดา","กรมศิลปากร, การสอน, นางฟ้า, บทร้อง, ยมะ, ศุภลักษณ์, สากล, เกียรติศักดิ์ไทย, เทวดา","กรมศิลปากร, การสอน, นางฟ้า, บทร้อง, ยมะ, ศุภลักษณ์, สากล, เกียรติศักดิ์ไทย, เทวดา",,
ระบำกินรีร่อน,ระบำกินรีร่อน,6,5,5,1,0,"กินรี, ทำนอง, ท่วงทำนอง, สระอโนดาต, เขาไกรลาส, เพลงไทย","กินรี, ทำนอง, ท่วงทำนอง, สระอโนดาต, เขาไกรลาส","กินรี, ทำนอง, ท่วงทำนอง, สระอโนดาต, เขาไกรลาส",เพลงไทย,
ระบำฉิ่ง,ระบำฉิ่ง,8,4,4,4,0,"ดนตรีพื้นบ้าน, ดนตรีไทย, ทำนอง, ท่วงทำนอง, รัวฉิ่ง, เครื่องดนตรีพื้นบ้าน, เครื่องดนตรีพื้นเมือง, เพลงไทย","ดนตรีไทย, ทำนอง, ท่วงทำนอง, รัวฉิ่ง","ดนตรีไทย, ทำนอง, ท่วงทำนอง, รัวฉิ่ง","ดนตรีพื้นบ้าน, เครื่องดนตรีพื้นบ้าน, เครื่องดนตรีพื้นเมือง, เพลงไทย",
ระบำชาวนา,ระบำชาวนา,4,3,3,1,0,"กสิกรรม, การไถ, ชาวนา, ชาวพื้นเมือง","กสิกรรม, การไถ, ชาวนา","กสิกรรม, การไถ, ชาวนา",ชาวพื้นเมือง,
ระบำชุดไทยพระราชนิยม,ระบำชุดไทยพระราชนิยม,12,12,12,0,0,"ฉลองพระองค์, บทร้อง, พระบรมราชชนนีพันปีหลวง, พระองค์, ไทยจักรพรรดิ์, ไทยจักรี, ไทยจิตรลดา, ไทยดุสิต, ไทยบรมพิมาน, ไทยศิวาลัย, ไทยอมรินทร์, ไทยเรือนต้น","ฉลองพระองค์, บทร้อง, พระบรมราชชนนีพันปีหลวง, พระองค์, ไทยจักรพรรดิ์, ไทยจักรี, ไทยจิตรลดา, ไทยดุสิต, ไทยบรมพิมาน, ไทยศิวาลัย, ไทยอมรินทร์, ไทยเรือนต้น","ฉลองพระองค์, บทร้อง, พระบรมราชชนนีพันปีหลวง, พระองค์, ไทยจักรพรรดิ์, ไทยจักรี, ไทยจิตรลดา, ไทยดุสิต, ไทยบรมพิมาน, ไทยศิวาลัย, ไทยอมรินทร์, ไทยเรือนต้น",,
ระบำดาวดึงส์,ระบำดาวดึงส์,10,10,10,0,0,"จับระบำ, ดาวดึงส์, ทิพยวิมาน, พระอินทร์, ระบำมาตรฐาน, ละครดึกดำบรรพ์, สังข์ทอง, เทพธิดา, เทพบุตร, แต่งกายยืนเครื่องพระ","จับระบำ, ดาวดึงส์, ทิพยวิมาน, พระอินทร์, ระบำมาตรฐาน, ละครดึกดำบรรพ์, สังข์ทอง, เทพธิดา, เทพบุตร, แต่งกายยืนเครื่องพระ","จับระบำ, ดาวดึงส์, ทิพยวิมาน, พระอินทร์, ระบำมาตรฐาน, ละครดึกดำบรรพ์, สังข์ทอง, เทพธิดา, เทพบุตร, แต่งกายยืนเครื่องพระ",,
ระบำตารีกีปัส,ระบำตารีกีปัส,10,5,5,5,0,"ดนตรีพื้นบ้าน, ดนตรีไทย, ตารี, ตารีกีปัส, ภาคใต้, เครื่องดนตรีตะวันตก, เครื่องดนตรีพื้นบ้าน, เครื่องดนตรีพื้นเมือง, เครื่องประกอบจังหวะ, เพลงไทย","ตารี, ตารีกีปัส, เครื่องดนตรีตะวันตก, เครื่องดนตรีพื้นเมือง, เครื่องประกอบจังหวะ","ตารี, ตารีกีปัส, เครื่องดนตรีตะวันตก, เครื่องดนตรีพื้นเมือง, เครื่องประกอบจังหวะ","ดนตรีพื้นบ้าน, ดนตรีไทย, ภาคใต้, เครื่องดนตรีพื้นบ้าน, เพลงไทย",
ระบำตารีบุหงา,ระบำตารีบุหงา,14,11,11,3,0,"กระบวนท่ารำ, ของที่ระลึก, งานแต่งงาน, ชาวพื้นเมือง, ช่อดอกไม้, ดอกไม้, ตารี, ตารีบุหงา, บุหงา, พื้นบ้านภาคใต้, ภาคใต้, ภาษามลายู, มลายู, มุสลิม","ของที่ระลึก, งานแต่งงาน, ช่อดอกไม้, ดอกไม้, ตารี, ตารีบุหงา, บุหงา, พื้นบ้านภาคใต้, ภาษามลายู, มลายู, มุสลิม","ของที่ระลึก, งานแต่งงาน, ช่อดอกไม้, ดอกไม้, ตารี, ตารีบุหงา, บุหงา, พื้นบ้านภาคใต้, ภาษามลายู, มลายู, มุสลิม","กระบวนท่ารำ, ชาวพื้นเมือง, ภาคใต้",
ระบำทวารวดี,ระบำทวารวดี,8,6,6,2,0,"จิตรกรรม, ดนตรีพื้นบ้าน, ดนตรีไทย, ประติมากรรม, พุทธศตวรรษ, สมัยทวารวดี, เสียงดนตรี, โบราณวัตถุ","จิตรกรรม, ประติมากรรม, พุทธศตวรรษ, สมัยทวารวดี, เสียงดนตรี, โบราณวัตถุ","จิตรกรรม, ประติมากรรม, พุทธศตวรรษ, สมัยทวารวดี, เสียงดนตรี, โบราณวัตถุ","ดนตรีพื้นบ้าน, ดนตรีไทย",
ระบำนพรัตน์,ระบำนพรัตน์,7,7,7,0,0,"ทับทิม, บุษราคัม, มรกต, อัญมณี, เพทาย, โกเมน, ไพฑูรย์","ทับทิม, บุษราคัม, มรกต, อัญมณี, เพทาย, โกเมน, ไพฑูรย์","ทับทิม, บุษราคัม, มรกต, อัญมณี, เพทาย, โกเมน, ไพฑูรย์",,
ระบำพรหมาสตร์,ระบำพรหมาสตร์,15,17,15,0,2,"กองทัพ, การุณราช, ช้างเอราวัณ, นางฟ้า, พรหมาสตร์, พระลักษมณ์, พระอินทร์, รามเกียรติ์, สงคราม, อินทรชิต, เทพบุตร, เทวดา, แปลงกาย, แปลงตัว, โอรส","กองทัพ, การุณราช, ช้างเอราวัณ, ทศกัณฐ์, นางฟ้า, พรหมาสตร์, พระลักษมณ์, พระอินทร์, รามเกียรติ์, วานร, สงคราม, อินทรชิต, เทพบุตร, เทวดา, แปลงกาย, แปลงตัว, โอรส","กองทัพ, การุณราช, ช้างเอราวัณ, นางฟ้า, พรหมาสตร์, พระลักษมณ์, พระอินทร์, รามเกียรติ์, สงคราม, อินทรชิต, เทพบุตร, เทวดา, แปลงกาย, แปลงตัว, โอรส",,"ทศกัณฐ์, วานร"
ระบำม้า,ระบำม้า,6,6,6,0,0,"การสอน, ธิเบศร์, บุรี, ยมะ, ออกเดินทาง, เดินทาง","การสอน, ธิเบศร์, บุรี, ยมะ, ออกเดินทาง, เดินทาง","การสอน, ธิเบศร์, บุรี, ยมะ, ออกเดินทาง, เดินทาง",,
ระบำย่องหงิด,ระบำย่องหงิด,15,17,14,1,3,"กระบวนท่ารำ, คำร้อง, จับระบำ, ทำนอง, ทำนองเพลง, นางฟ้า, พี่เลี้ยง, ย่องหงิด, วาดรูป, อาสา, อุณรุท, อุษา, เทพบุตร, เทวดา, เพลงไทย","กระบวนท่ารำ, คำร้อง, จับระบำ, ทำนอง, ทำนองเพลง, นางฟ้า, พี่เลี้ยง, ย่องหงิด, ละครใน, วาดรูป, ศุภลักษณ์, อาสา, อุณรุท, อุษา, เทพธิดา, เทพบุตร, เทวดา","กระบวนท่ารำ, คำร้อง, จับระบำ, ทำนอง, ทำนองเพลง, นางฟ้า, พี่เลี้ยง, ย่องหงิด, วาดรูป, อาสา, อุณรุท, อุษา, เทพบุตร, เทวดา",เพลงไทย,"ละครใน, ศุภลักษณ์, เทพธิดา"
ระบำร่อนแร่,ระบำร่อนแร่,6,3,2,4,1,"การร่อนแร่, ดนตรีพื้นบ้าน, ดนตรีไทย, ภาคใต้, หญิงสาว, แหล่งน้ำ","การร่อนแร่, หญิงสาว, แหล่งนํ้า","การร่อนแร่, หญิงสาว","ดนตรีพื้นบ้าน, ดนตรีไทย, ภาคใต้, แหล่งน้ำ",แหล่งนํ้า
ระบำลพบุรี,ระบำลพบุรี,12,10,10,2,0,"ดนตรีพื้นบ้าน, ดนตรีไทย, ทับหลัง, นครราชสีมา, บุรี, บุรีรัมย์, ประติมากรรม, ปราสาทพนมรุ้ง, ปราสาทหินพิมาย, พุทธศตวรรษ, สมัยลพบุรี, หน้าบัน","ทับหลัง, นครราชสีมา, บุรี, บุรีรัมย์, ประติมากรรม, ปราสาทพนมรุ้ง, ปราสาทหินพิมาย, พุทธศตวรรษ, สมัยลพบุรี, หน้าบัน","ทับหลัง, นครราชสีมา, บุรี, บุรีรัมย์, ประติมากรรม, ปราสาทพนมรุ้ง, ปราสาทหินพิมาย, พุทธศตวรรษ, สมัยลพบุรี, หน้าบัน","ดนตรีพื้นบ้าน, ดนตรีไทย",
ระบำวิชนี,ระบำวิชนี,9,8,8,1,0,"ทำนอง, ทำนองเพลง, นางใน, บทร้อง, มือขวา, ราชสำนัก, วิชนี, หญิงสาว, เพลงไทย","ทำนอง, ทำนองเพลง, นางใน, บทร้อง, มือขวา, ราชสำนัก, วิชนี, หญิงสาว","ทำนอง, ทำนองเพลง, นางใน, บทร้อง, มือขวา, ราชสำนัก, วิชนี, หญิงสาว",เพลงไทย,
ระบำศรีชยสิงห์,ระบำศรีชยสิงห์,11,11,11,0,0,"กาญจนบุรี, จารึก, นางอัปสราบายน, บุรี, ปราสาทพระขรรค์, ปราสาทเมืองสิงห์, พระเจ้าชัยวรมัน, ภาพจำหลัก, ริมแม่น้ำ, แควน้อย, แม่น้ำ","กาญจนบุรี, จารึก, นางอัปสราบายน, บุรี, ปราสาทพระขรรค์, ปราสาทเมืองสิงห์, พระเจ้าชัยวรมัน, ภาพจำหลัก, ริมแม่น้ำ, แควน้อย, แม่น้ำ","กาญจนบุรี, จารึก, นางอัปสราบายน, บุรี, ปราสาทพระขรรค์, ปราสาทเมืองสิงห์, พระเจ้าชัยวรมัน, ภาพจำหลัก, ริมแม่น้ำ, แควน้อย, แม่น้ำ",,
ระบำศรีวิชัย,ระบำศรีวิชัย,11,9,9,2,0,"ชุมพร, ดนตรีพื้นบ้าน, ดนตรีไทย, นครศรีธรรมราช, ปัตตานี, พุทธศตวรรษ, มลายู, สมัยศรีวิชัย, อินโดนีเซีย, แหลมมลายู, โบราณวัตถุ","ชุมพร, นครศรีธรรมราช, ปัตตานี, พุทธศตวรรษ, มลายู, สมัยศรีวิชัย, อินโดนีเซีย, แหลมมลายู, โบราณวัตถุ","ชุมพร, นครศรีธรรมราช, ปัตตานี, พุทธศตวรรษ, มลายู, สมัยศรีวิชัย, อินโดนีเซีย, แหลมมลายู, โบราณวัตถุ","ดนตรีพื้นบ้าน, ดนตรีไทย",
ระบำสุโขทัย,ระบำสุโขทัย,9,7,6,3,1,"ดนตรีพื้นบ้าน, ดนตรีไทย, ประติมากรรม, ปางลีลา, ปูนปั้น, พระพุทธรูป, พุทธศตวรรษ, สมัยสุโขทัย, หล่อสำริด","ประติมากรรม, ปางลีลา, ปูนปั้น, พระพุทธรูป, พุทธศตวรรษ, สมัยสุโขทัย, หล่อสําริด","ประติมากรรม, ปางลีลา, ปูนปั้น, พระพุทธรูป, พุทธศตวรรษ, สมัยสุโขทัย","ดนตรีพื้นบ้าน, ดนตรีไทย, หล่อสำริด",หล่อสําริด
ระบำอยุธยา,ระบำอยุธยา,5,4,4,1,0,"การสอน, ระบำโบราณคดี, ศิลปหัตถกรรม, ศิลปินแห่งชาติ, อยุธยา","การสอน, ระบำโบราณคดี, ศิลปหัตถกรรม, ศิลปินแห่งชาติ","การสอน, ระบำโบราณคดี, ศิลปหัตถกรรม, ศิลปินแห่งชาติ",อยุธยา,
ระบำเก็บใบชา,ระบำเก็บใบชา,11,9,9,2,0,"กลับบ้าน, การละเล่นพื้นเมือง, การเก็บใบชา, งานรื่นเริง, ชาวพื้นเมือง, ชาวเขา, ผึ่งแดด, ภาคเหนือ, ออกเดินทาง, เดินทาง, ใบชา","กลับบ้าน, การเก็บใบชา, ชาวพื้นเมือง, ชาวเขา, ผึ่งแดด, ภาคเหนือ, ออกเดินทาง, เดินทาง, ใบชา","กลับบ้าน, การเก็บใบชา, ชาวพื้นเมือง, ชาวเขา, ผึ่งแดด, ภาคเหนือ, ออกเดินทาง, เดินทาง, ใบชา","การละเล่นพื้นเมือง, งานรื่นเริง",
ระบำเซียงแสน,ระบำเซียงแสน,10,8,8,2,0,"จิตรกรรม, ดนตรีพื้นบ้าน, ดนตรีไทย, ปูนปั้น, พุทธศตวรรษ, ภาคตะวันออกเฉียงเหนือ, ภาคเหนือ, ภาพจิตรกรรมฝาผนัง, เสียงดนตรี, โบราณสถาน","จิตรกรรม, ปูนปั้น, พุทธศตวรรษ, ภาคตะวันออกเฉียงเหนือ, ภาคเหนือ, ภาพจิตรกรรมฝาผนัง, เสียงดนตรี, โบราณสถาน","จิตรกรรม, ปูนปั้น, พุทธศตวรรษ, ภาคตะวันออกเฉียงเหนือ, ภาคเหนือ, ภาพจิตรกรรมฝาผนัง, เสียงดนตรี, โบราณสถาน","ดนตรีพื้นบ้าน, ดนตรีไทย",
ระบำเทพบันเทิง,ระบำเทพบันเทิง,7,7,7,0,0,"ระบำมาตรฐาน, ละครใน, องค์ปะตาระกาหลา, อิเหนา, เทพธิดา, เทพบุตร, แต่งกายยืนเครื่องพระ","ระบำมาตรฐาน, ละครใน, องค์ปะตาระกาหลา, อิเหนา, เทพธิดา, เทพบุตร, แต่งกายยืนเครื่องพระ","ระบำมาตรฐาน, ละครใน, องค์ปะตาระกาหลา, อิเหนา, เทพธิดา, เทพบุตร, แต่งกายยืนเครื่องพระ",,
