ลำดับ,ประเภทชุดการแสดง,ชื่อชุดการแสดง,คำอธิบายชุดการแสดง,จำนวนผู้แสดง,ระยะเวลาการแสดง (นาที), ราคาต่อชุด ,ประเภทการแสดง,บริบทย่อย,บริบทหลัก
131,ระบำโบราณคดี,ระบำอยุธยา,"เป็นระบำที่ประดิษฐ์ขึ้นใหม่ เมื่อปี พ.ศ. 2529 จากความคิดริเริ่ม ของนายเสรี หวังในธรรม ผู้เชี่ยวชาญพิเศษด้านสังคีตศิลป์และศิลปินแห่งชาติ โดยมีวัตถุประสงค์ที่จะจัดเป็นระบำโบราณคดีอีกชุดหนึ่ง นางเฉลย ศุขะวณิช ผู้เชี่ยวชาญการสอนนาฏศิลป์ไทยและศิลปินแห่งชาติ เป็นผู้ประดิษฐ์ลีลาท่ารำ 
จัดแสดงเป็นครั้งแรกในงานศิลปหัตถกรรม ประจำปี พ.ศ. 2539",8,10," 16,000 ",การแสดงสร้างสรรค์,งานสวดอภิธรรม,งานอวมงคล
132,ระบำโบราณคดี,ระบำอยุธยา,"เป็นระบำที่ประดิษฐ์ขึ้นใหม่ เมื่อปี พ.ศ. 2529 จากความคิดริเริ่ม ของนายเสรี หวังในธรรม ผู้เชี่ยวชาญพิเศษด้านสังคีตศิลป์และศิลปินแห่งชาติ โดยมีวัตถุประสงค์ที่จะจัดเป็นระบำโบราณคดีอีกชุดหนึ่ง นางเฉลย ศุขะวณิช ผู้เชี่ยวชาญการสอนนาฏศิลป์ไทยและศิลปินแห่งชาติ เป็นผู้ประดิษฐ์ลีลาท่ารำ 
จัดแสดงเป็นครั้งแรกในงานศิลปหัตถกรรม ประจำปี พ.ศ. 2541",8,10," 16,000 ",การแสดงสร้างสรรค์,งานฌาปนกิจศพ,งานอวมงคล
133,ระบำโบราณคดี,ระบำอยุธยา,"เป็นระบำที่ประดิษฐ์ขึ้นใหม่ เมื่อปี พ.ศ. 2529 จากความคิดริเริ่ม ของนายเสรี หวังในธรรม ผู้เชี่ยวชาญพิเศษด้านสังคีตศิลป์และศิลปินแห่งชาติ โดยมีวัตถุประสงค์ที่จะจัดเป็นระบำโบราณคดีอีกชุดหนึ่ง นางเฉลย ศุขะวณิช ผู้เชี่ยวชาญการสอนนาฏศิลป์ไทยและศิลปินแห่งชาติ เป็นผู้ประดิษฐ์ลีลาท่ารำ 
จัดแสดงเป็นครั้งแรกในงานศิลปหัตถกรรม ประจำปี พ.ศ. 2542",8,10," 16,000 ",การแสดงสร้างสรรค์,วันสงกรานต์,งานเทศกาล
134,ระบำโบราณคดี,ระบำอยุธยา,"เป็นระบำที่ประดิษฐ์ขึ้นใหม่ เมื่อปี พ.ศ. 2529 จากความคิดริเริ่ม ของนายเสรี หวังในธรรม ผู้เชี่ยวชาญพิเศษด้านสังคีตศิลป์และศิลปินแห่งชาติ โดยมีวัตถุประสงค์ที่จะจัดเป็นระบำโบราณคดีอีกชุดหนึ่ง นางเฉลย ศุขะวณิช ผู้เชี่ยวชาญการสอนนาฏศิลป์ไทยและศิลปินแห่งชาติ เป็นผู้ประดิษฐ์ลีลาท่ารำ 
จัดแสดงเป็นครั้งแรกในงานศิลปหัตถกรรม ประจำปี พ.ศ. 2543",8,10," 16,000 ",การแสดงสร้างสรรค์,วันขึ้นปีใหม่,งานเทศกาล
135,ระบำโบราณคดี,ระบำอยุธยา,"เป็นระบำที่ประดิษฐ์ขึ้นใหม่ เมื่อปี พ.ศ. 2529 จากความคิดริเริ่ม ของนายเสรี หวังในธรรม ผู้เชี่ยวชาญพิเศษด้านสังคีตศิลป์และศิลปินแห่งชาติ โดยมีวัตถุประสงค์ที่จะจัดเป็นระบำโบราณคดีอีกชุดหนึ่ง นางเฉลย ศุขะวณิช ผู้เชี่ยวชาญการสอนนาฏศิลป์ไทยและศิลปินแห่งชาติ เป็นผู้ประดิษฐ์ลีลาท่ารำ 
จัดแสดงเป็นครั้งแรกในงานศิลปหัตถกรรม ประจำปี พ.ศ. 2546",8,10," 16,000 ",การแสดงสร้างสรรค์,การเผยแพร่วัฒนธรรมในประเทศ,งานเผยแพร่วัฒนธรรม
136,ระบำโบราณคดี,ระบำอยุธยา,"เป็นระบำที่ประดิษฐ์ขึ้นใหม่ เมื่อปี พ.ศ. 2529 จากความคิดริเริ่ม ของนายเสรี หวังในธรรม ผู้เชี่ยวชาญพิเศษด้านสังคีตศิลป์และศิลปินแห่งชาติ โดยมีวัตถุประสงค์ที่จะจัดเป็นระบำโบราณคดีอีกชุดหนึ่ง นางเฉลย ศุขะวณิช ผู้เชี่ยวชาญการสอนนาฏศิลป์ไทยและศิลปินแห่งชาติ เป็นผู้ประดิษฐ์ลีลาท่ารำ 
จัดแสดงเป็นครั้งแรกในงานศิลปหัตถกรรม ประจำปี พ.ศ. 2548",8,10," 16,000 ",การแสดงสร้างสรรค์,วันวิสาขบูชา,งานวันสำคัญทางศาสนา
137,ระบำโบราณคดี,ระบำอยุธยา,"เป็นระบำที่ประดิษฐ์ขึ้นใหม่ เมื่อปี พ.ศ. 2529 จากความคิดริเริ่ม ของนายเสรี หวังในธรรม ผู้เชี่ยวชาญพิเศษด้านสังคีตศิลป์และศิลปินแห่งชาติ โดยมีวัตถุประสงค์ที่จะจัดเป็นระบำโบราณคดีอีกชุดหนึ่ง นางเฉลย ศุขะวณิช ผู้เชี่ยวชาญการสอนนาฏศิลป์ไทยและศิลปินแห่งชาติ เป็นผู้ประดิษฐ์ลีลาท่ารำ 
จัดแสดงเป็นครั้งแรกในงานศิลปหัตถกรรม ประจำปี พ.ศ. 2549",8,10," 16,000 ",การแสดงสร้างสรรค์,วันเข้าพรรษา,งานวันสำคัญทางศาสนา
138,ระบำโบราณคดี,ระบำอยุธยา,"เป็นระบำที่ประดิษฐ์ขึ้นใหม่ เมื่อปี พ.ศ. 2529 จากความคิดริเริ่ม ของนายเสรี หวังในธรรม ผู้เชี่ยวชาญพิเศษด้านสังคีตศิลป์และศิลปินแห่งชาติ โดยมีวัตถุประสงค์ที่จะจัดเป็นระบำโบราณคดีอีกชุดหนึ่ง นางเฉลย ศุขะวณิช ผู้เชี่ยวชาญการสอนนาฏศิลป์ไทยและศิลปินแห่งชาติ เป็นผู้ประดิษฐ์ลีลาท่ารำ 
จัดแสดงเป็นครั้งแรกในงานศิลปหัตถกรรม ประจำปี พ.ศ. 2550",8,10," 16,000 ",การแสดงสร้างสรรค์,วันออกพรรษา,งานวันสำคัญทางศาสนา
139,ระบำโบราณคดี,ระบำอยุธยา,"เป็นระบำที่ประดิษฐ์ขึ้นใหม่ เมื่อปี พ.ศ. 2529 จากความคิดริเริ่ม ของนายเสรี หวังในธรรม ผู้เชี่ยวชาญพิเศษด้านสังคีตศิลป์และศิลปินแห่งชาติ โดยมีวัตถุประสงค์ที่จะจัดเป็นระบำโบราณคดีอีกชุดหนึ่ง นางเฉลย ศุขะวณิช ผู้เชี่ยวชาญการสอนนาฏศิลป์ไทยและศิลปินแห่งชาติ เป็นผู้ประดิษฐ์ลีลาท่ารำ 
จัดแสดงเป็นครั้งแรกในงานศิลปหัตถกรรม ประจำปี พ.ศ. 2551",8,10," 16,000 ",การแสดงสร้างสรรค์,งานสวดมนต์ข้ามปี,งานวันสำคัญทางศาสนา
140,ระบำโบราณคดี,ระบำอยุธยา,"เป็นระบำที่ประดิษฐ์ขึ้นใหม่ เมื่อปี พ.ศ. 2529 จากความคิดริเริ่ม ของนายเสรี หวังในธรรม ผู้เชี่ยวชาญพิเศษด้านสังคีตศิลป์และศิลปินแห่งชาติ โดยมีวัตถุประสงค์ที่จะจัดเป็นระบำโบราณคดีอีกชุดหนึ่ง นางเฉลย ศุขะวณิช ผู้เชี่ยวชาญการสอนนาฏศิลป์ไทยและศิลปินแห่งชาติ เป็นผู้ประดิษฐ์ลีลาท่ารำ 
จัดแสดงเป็นครั้งแรกในงานศิลปหัตถกรรม ประจำปี พ.ศ. 2552",8,10," 16,000 ",การแสดงสร้างสรรค์,งานเทศมหาชาติ,งานวันสำคัญทางศาสนา
141,การแสดงนาฏศิลป์สร้างสรรค์,รับขวัญข้าว,"รับขวัญข้าว เป็นการแสดงที่ได้แนวคิดมาจากเรื่องราวพิธีกรรม
ในการทำขวัญข้าว ที่สะท้อนให้เห็นถึงความกตัญญูกตเวทีต่อผู้มีพระคุณ
ด้วยความเคารพบูชา ความสามัคคี ความมีนํ้าใจซึ่งวัฒนธรรมเหล่านี้
เป็นที่แพร่หลายในอดีต จากแนวคิดดังกล่าวนําสู่รูปแบบนาฏศิลป์สร้างสรรค์
เพื่อให้ชนรุ่นหลังเห็นถึงความสําคัญของผืนแผ่นดินที่ให้ความสมบูรณ์
ก่อให้เกิดพืชพรรณธัญญาหารหล่อเลี้ยงชวิตมนุษย์ พระคุณของ “ข้าว” 
อาหารหลักของชาติไทย ตลอดจนจารีตประเพณี วัฒนธรรม
อันแสดงให้เห็นถึงภูมิปัญญาอันทรงคุณค่าที่ควรสืบสาน",5,10," 10,000 ",การแสดงสร้างสรรค์,งานต้อนรับอาคันตุกะ,งานรัฐพิธี
142,การแสดงนาฏศิลป์สร้างสรรค์,รับขวัญข้าว,"รับขวัญข้าว เป็นการแสดงที่ได้แนวคิดมาจากเรื่องราวพิธีกรรม
ในการทําขวัญข้าว ที่สะท้อนให้เห็นถึงความกตัญญูกตเวทีต่อผู้มีพระคุณ
ด้วยความเคารพบูชา ความสามัคคี ความมีนํ้าใจซึ่งวัฒนธรรมเหล่านี้
เป็นที่แพร่หลายในอดีต จากแนวคิดดังกล่าวนําสู่รูปแบบนาฏศิลป์สร้างสรรค์
เพื่อให้ชนรุ่นหลังเห็นถึงความสําคัญของผืนแผ่นดินที่ให้ความสมบูรณ์
ก่อให้เกิดพืชพรรณธัญญาหารหล่อเลี้ยงชวิตมนุษย์ พระคุณของ “ข้าว” 
อาหารหลักของชาติไทย ตลอดจนจารีตประเพณี วัฒนธรรม
อันแสดงให้เห็นถึงภูมิปัญญาอันทรงคุณค่าที่ควรสืบสาน",5,10," 10,000 ",การแสดงสร้างสรรค์,งานทำบุญ,งานมงคล
143,การแสดงนาฏศิลป์สร้างสรรค์,รับขวัญข้าว,"รับขวัญข้าว เป็นการแสดงที่ได้แนวคิดมาจากเรื่องราวพิธีกรรม
ในการทําขวัญข้าว ที่สะท้อนให้เห็นถึงความกตัญญูกตเวทีต่อผู้มีพระคุณ
ด้วยความเคารพบูชา ความสามัคคี ความมีนํ้าใจซึ่งวัฒนธรรมเหล่านี้
เป็นที่แพร่หลายในอดีต จากแนวคิดดังกล่าวนําสู่รูปแบบนาฏศิลป์สร้างสรรค์
เพื่อให้ชนรุ่นหลังเห็นถึงความสําคัญของผืนแผ่นดินที่ให้ความสมบูรณ์
ก่อให้เกิดพืชพรรณธัญญาหารหล่อเลี้ยงชวิตมนุษย์ พระคุณของ “ข้าว” 
อาหารหลักของชาติไทย ตลอดจนจารีตประเพณี วัฒนธรรม
อันแสดงให้เห็นถึงภูมิปัญญาอันทรงคุณค่าที่ควรสืบสาน",5,10," 10,000 ",การแสดงสร้างสรรค์,งานวันเกิด,งานมงคล
144,การแสดงนาฏศิลป์สร้างสรรค์,รับขวัญข้าว,"รับขวัญข้าว เป็นการแสดงที่ได้แนวคิดมาจากเรื่องราวพิธีกรรม
ในการทําขวัญข้าว ที่สะท้อนให้เห็นถึงความกตัญญูกตเวทีต่อผู้มีพระคุณ
ด้วยความเคารพบูชา ความสามัคคี ความมีนํ้าใจซึ่งวัฒนธรรมเหล่านี้
เป็นที่แพร่หลายในอดีต จากแนวคิดดังกล่าวนําสู่รูปแบบนาฏศิลป์สร้างสรรค์
เพื่อให้ชนรุ่นหลังเห็นถึงความสําคัญของผืนแผ่นดินที่ให้ความสมบูรณ์
ก่อให้เกิดพืชพรรณธัญญาหารหล่อเลี้ยงชวิตมนุษย์ พระคุณของ “ข้าว” 
อาหารหลักของชาติไทย ตลอดจนจารีตประเพณี วัฒนธรรม
อันแสดงให้เห็นถึงภูมิปัญญาอันทรงคุณค่าที่ควรสืบสาน",5,10," 10,000 ",การแสดงสร้างสรรค์,งานแต่งงาน,งานมงคล
145,การแสดงนาฏศิลป์สร้างสรรค์,รับขวัญข้าว,"รับขวัญข้าว เป็นการแสดงที่ได้แนวคิดมาจากเรื่องราวพิธีกรรม
ในการทําขวัญข้าว ที่สะท้อนให้เห็นถึงความกตัญญูกตเวทีต่อผู้มีพระคุณ
ด้วยความเคารพบูชา ความสามัคคี ความมีนํ้าใจซึ่งวัฒนธรรมเหล่านี้
เป็นที่แพร่หลายในอดีต จากแนวคิดดังกล่าวนําสู่รูปแบบนาฏศิลป์สร้างสรรค์
เพื่อให้ชนรุ่นหลังเห็นถึงความสําคัญของผืนแผ่นดินที่ให้ความสมบูรณ์
ก่อให้เกิดพืชพรรณธัญญาหารหล่อเลี้ยงชวิตมนุษย์ พระคุณของ “ข้าว” 
อาหารหลักของชาติไทย ตลอดจนจารีตประเพณี วัฒนธรรม
อันแสดงให้เห็นถึงภูมิปัญญาอันทรงคุณค่าที่ควรสืบสาน",5,10," 10,000 ",การแสดงสร้างสรรค์,งานขึ้นบ้านใหม่,งานมงคล
146,การแสดงนาฏศิลป์สร้างสรรค์,รับขวัญข้าว,"รับขวัญข้าว เป็นการแสดงที่ได้แนวคิดมาจากเรื่องราวพิธีกรรม
ในการทําขวัญข้าว ที่สะท้อนให้เห็นถึงความกตัญญูกตเวทีต่อผู้มีพระคุณ
ด้วยความเคารพบูชา ความสามัคคี ความมีนํ้าใจซึ่งวัฒนธรรมเหล่านี้
เป็นที่แพร่หลายในอดีต จากแนวคิดดังกล่าวนําสู่รูปแบบนาฏศิลป์สร้างสรรค์
เพื่อให้ชนรุ่นหลังเห็นถึงความสําคัญของผืนแผ่นดินที่ให้ความสมบูรณ์
ก่อให้เกิดพืชพรรณธัญญาหารหล่อเลี้ยงชวิตมนุษย์ พระคุณของ “ข้าว” 
อาหารหลักของชาติไทย ตลอดจนจารีตประเพณี วัฒนธรรม
อันแสดงให้เห็นถึงภูมิปัญญาอันทรงคุณค่าที่ควรสืบสาน",5,10," 10,000 ",การแสดงสร้างสรรค์,งานเปิดบริษัท,งานมงคล
147,การแสดงนาฏศิลป์สร้างสรรค์,รับขวัญข้าว,"รับขวัญข้าว เป็นการแสดงที่ได้แนวคิดมาจากเรื่องราวพิธีกรรม
ในการทําขวัญข้าว ที่สะท้อนให้เห็นถึงความกตัญญูกตเวทีต่อผู้มีพระคุณ
ด้วยความเคารพบูชา ความสามัคคี ความมีนํ้าใจซึ่งวัฒนธรรมเหล่านี้
เป็นที่แพร่หลายในอดีต จากแนวคิดดังกล่าวนําสู่รูปแบบนาฏศิลป์สร้างสรรค์
เพื่อให้ชนรุ่นหลังเห็นถึงความสําคัญของผืนแผ่นดินที่ให้ความสมบูรณ์
ก่อให้เกิดพืชพรรณธัญญาหารหล่อเลี้ยงชวิตมนุษย์ พระคุณของ “ข้าว” 
อาหารหลักของชาติไทย ตลอดจนจารีตประเพณี วัฒนธรรม
อันแสดงให้เห็นถึงภูมิปัญญาอันทรงคุณค่าที่ควรสืบสาน",5,10," 10,000 ",การแสดงสร้างสรรค์,วันสงกรานต์,งานเทศกาล
148,การแสดงนาฏศิลป์สร้างสรรค์,รับขวัญข้าว,"รับขวัญข้าว เป็นการแสดงที่ได้แนวคิดมาจากเรื่องราวพิธีกรรม
ในการทําขวัญข้าว ที่สะท้อนให้เห็นถึงความกตัญญูกตเวทีต่อผู้มีพระคุณ
ด้วยความเคารพบูชา ความสามัคคี ความมีนํ้าใจซึ่งวัฒนธรรมเหล่านี้
เป็นที่แพร่หลายในอดีต จากแนวคิดดังกล่าวนําสู่รูปแบบนาฏศิลป์สร้างสรรค์
เพื่อให้ชนรุ่นหลังเห็นถึงความสําคัญของผืนแผ่นดินที่ให้ความสมบูรณ์
ก่อให้เกิดพืชพรรณธัญญาหารหล่อเลี้ยงชวิตมนุษย์ พระคุณของ “ข้าว” 
อาหารหลักของชาติไทย ตลอดจนจารีตประเพณี วัฒนธรรม
อันแสดงให้เห็นถึงภูมิปัญญาอันทรงคุณค่าที่ควรสืบสาน",5,10," 10,000 ",การแสดงสร้างสรรค์,วันขึ้นปีใหม่,งานเทศกาล
149,การแสดงนาฏศิลป์สร้างสรรค์,รับขวัญข้าว,"รับขวัญข้าว เป็นการแสดงที่ได้แนวคิดมาจากเรื่องราวพิธีกรรม
ในการทําขวัญข้าว ที่สะท้อนให้เห็นถึงความกตัญญูกตเวทีต่อผู้มีพระคุณ
ด้วยความเคารพบูชา ความสามัคคี ความมีนํ้าใจซึ่งวัฒนธรรมเหล่านี้
เป็นที่แพร่หลายในอดีต จากแนวคิดดังกล่าวนําสู่รูปแบบนาฏศิลป์สร้างสรรค์
เพื่อให้ชนรุ่นหลังเห็นถึงความสําคัญของผืนแผ่นดินที่ให้ความสมบูรณ์
ก่อให้เกิดพืชพรรณธัญญาหารหล่อเลี้ยงชวิตมนุษย์ พระคุณของ “ข้าว” 
อาหารหลักของชาติไทย ตลอดจนจารีตประเพณี วัฒนธรรม
อันแสดงให้เห็นถึงภูมิปัญญาอันทรงคุณค่าที่ควรสืบสาน",5,10," 10,000 ",การแสดงสร้างสรรค์,วันตรุษจีน,งานเทศกาล
150,การแสดงนาฏศิลป์สร้างสรรค์,รับขวัญข้าว,"รับขวัญข้าว เป็นการแสดงที่ได้แนวคิดมาจากเรื่องราวพิธีกรรม
ในการทําขวัญข้าว ที่สะท้อนให้เห็นถึงความกตัญญูกตเวทีต่อผู้มีพระคุณ
ด้วยความเคารพบูชา ความสามัคคี ความมีนํ้าใจซึ่งวัฒนธรรมเหล่านี้
เป็นที่แพร่หลายในอดีต จากแนวคิดดังกล่าวนําสู่รูปแบบนาฏศิลป์สร้างสรรค์
เพื่อให้ชนรุ่นหลังเห็นถึงความสําคัญของผืนแผ่นดินที่ให้ความสมบูรณ์
ก่อให้เกิดพืชพรรณธัญญาหารหล่อเลี้ยงชวิตมนุษย์ พระคุณของ “ข้าว” 
อาหารหลักของชาติไทย ตลอดจนจารีตประเพณี วัฒนธรรม
อันแสดงให้เห็นถึงภูมิปัญญาอันทรงคุณค่าที่ควรสืบสาน",5,10," 10,000 ",การแสดงสร้างสรรค์,วันลอยกระทง,งานเทศกาล
151,การแสดงนาฏศิลป์สร้างสรรค์,รับขวัญข้าว,"รับขวัญข้าว เป็นการแสดงที่ได้แนวคิดมาจากเรื่องราวพิธีกรรม
ในการทําขวัญข้าว ที่สะท้อนให้เห็นถึงความกตัญญูกตเวทีต่อผู้มีพระคุณ
ด้วยความเคารพบูชา ความสามัคคี ความมีนํ้าใจซึ่งวัฒนธรรมเหล่านี้
เป็นที่แพร่หลายในอดีต จากแนวคิดดังกล่าวนําสู่รูปแบบนาฏศิลป์สร้างสรรค์
เพื่อให้ชนรุ่นหลังเห็นถึงความสําคัญของผืนแผ่นดินที่ให้ความสมบูรณ์
ก่อให้เกิดพืชพรรณธัญญาหารหล่อเลี้ยงชวิตมนุษย์ พระคุณของ “ข้าว” 
อาหารหลักของชาติไทย ตลอดจนจารีตประเพณี วัฒนธรรม
อันแสดงให้เห็นถึงภูมิปัญญาอันทรงคุณค่าที่ควรสืบสาน",5,10," 10,000 ",การแสดงสร้างสรรค์,การเผยแพร่วัฒนธรรมในประเทศ,งานเผยแพร่วัฒนธรรม
152,การแสดงนาฏศิลป์สร้างสรรค์,รับขวัญข้าว,"รับขวัญข้าว เป็นการแสดงที่ได้แนวคิดมาจากเรื่องราวพิธีกรรม
ในการทําขวัญข้าว ที่สะท้อนให้เห็นถึงความกตัญญูกตเวทีต่อผู้มีพระคุณ
ด้วยความเคารพบูชา ความสามัคคี ความมีนํ้าใจซึ่งวัฒนธรรมเหล่านี้
เป็นที่แพร่หลายในอดีต จากแนวคิดดังกล่าวนําสู่รูปแบบนาฏศิลป์สร้างสรรค์
เพื่อให้ชนรุ่นหลังเห็นถึงความสําคัญของผืนแผ่นดินที่ให้ความสมบูรณ์
ก่อให้เกิดพืชพรรณธัญญาหารหล่อเลี้ยงชวิตมนุษย์ พระคุณของ “ข้าว” 
อาหารหลักของชาติไทย ตลอดจนจารีตประเพณี วัฒนธรรม
อันแสดงให้เห็นถึงภูมิปัญญาอันทรงคุณค่าที่ควรสืบสาน",5,10," 10,000 ",การแสดงสร้างสรรค์,การเผยแพร่วัฒนธรรมต่างประเทศ,งานเผยแพร่วัฒนธรรม
153,การแสดงนาฏศิลป์สร้างสรรค์,รับขวัญข้าว,"รับขวัญข้าว เป็นการแสดงที่ได้แนวคิดมาจากเรื่องราวพิธีกรรม
ในการทําขวัญข้าว ที่สะท้อนให้เห็นถึงความกตัญญูกตเวทีต่อผู้มีพระคุณ
ด้วยความเคารพบูชา ความสามัคคี ความมีนํ้าใจซึ่งวัฒนธรรมเหล่านี้
เป็นที่แพร่หลายในอดีต จากแนวคิดดังกล่าวนําสู่รูปแบบนาฏศิลป์สร้างสรรค์
เพื่อให้ชนรุ่นหลังเห็นถึงความสําคัญของผืนแผ่นดินที่ให้ความสมบูรณ์
ก่อให้เกิดพืชพรรณธัญญาหารหล่อเลี้ยงชวิตมนุษย์ พระคุณของ “ข้าว” 
อาหารหลักของชาติไทย ตลอดจนจารีตประเพณี วัฒนธรรม
อันแสดงให้เห็นถึงภูมิปัญญาอันทรงคุณค่าที่ควรสืบสาน",5,10," 10,000 ",การแสดงสร้างสรรค์,งานสวดมนต์ข้ามปี,งานวันสำคัญทางศาสนา
154,การแสดงนาฏศิลป์สร้างสรรค์,ล่องใต้,"ล่องใต้ เป็นการแสดงที่ได้แนวคิดมาจากศิลปวัฒนธรรมและวิถีชีวิต
ความเป็นอยู่ของประชากรทางภาคใต้อันมีเอกลักษณ์เฉพาะที่โดดเด่น
นําสู่การสร้างสรรค์การแสดงสื่อถึงประเพณี วัฒนธรรม วิถีชีวิต
ความเป็นอยู่ การประกอบอาชีพ โดยการแสดงสะท้อนให้เห็นถึงบรรยากาศ 
แห่งความสุข ความสนุกสนานของดินแดนภาคใต้",5,10," 10,000 ",การแสดงสร้างสรรค์,งานต้อนรับอาคันตุกะ,งานรัฐพิธี
155,การแสดงนาฏศิลป์สร้างสรรค์,ล่องใต้,"ล่องใต้ เป็นการแสดงที่ได้แนวคิดมาจากศิลปวัฒนธรรมและวิถีชีวิต
ความเป็นอยู่ของประชากรทางภาคใต้อันมีเอกลักษณ์เฉพาะที่โดดเด่น
นําสู่การสร้างสรรค์การแสดงสื่อถึงประเพณี วัฒนธรรม วิถีชีวิต
ความเป็นอยู่ การประกอบอาชีพ โดยการแสดงสะท้อนให้เห็นถึงบรรยากาศ 
แห่งความสุข ความสนุกสนานของดินแดนภาคใต้",5,10," 10,000 ",การแสดงสร้างสรรค์,วันสงกรานต์,งานเทศกาล
156,การแสดงนาฏศิลป์สร้างสรรค์,ล่องใต้,"ล่องใต้ เป็นการแสดงที่ได้แนวคิดมาจากศิลปวัฒนธรรมและวิถีชีวิต
ความเป็นอยู่ของประชากรทางภาคใต้อันมีเอกลักษณ์เฉพาะที่โดดเด่น
นําสู่การสร้างสรรค์การแสดงสื่อถึงประเพณี วัฒนธรรม วิถีชีวิต
ความเป็นอยู่ การประกอบอาชีพ โดยการแสดงสะท้อนให้เห็นถึงบรรยากาศ 
แห่งความสุข ความสนุกสนานของดินแดนภาคใต้",5,10," 10,000 ",การแสดงสร้างสรรค์,วันตรุษจีน,งานเทศกาล
157,การแสดงนาฏศิลป์สร้างสรรค์,ล่องใต้,"ล่องใต้ เป็นการแสดงที่ได้แนวคิดมาจากศิลปวัฒนธรรมและวิถีชีวิต
ความเป็นอยู่ของประชากรทางภาคใต้อันมีเอกลักษณ์เฉพาะที่โดดเด่น
นําสู่การสร้างสรรค์การแสดงสื่อถึงประเพณี วัฒนธรรม วิถีชีวิต
ความเป็นอยู่ การประกอบอาชีพ โดยการแสดงสะท้อนให้เห็นถึงบรรยากาศ 
แห่งความสุข ความสนุกสนานของดินแดนภาคใต้",5,10," 10,000 ",การแสดงสร้างสรรค์,การเผยแพร่วัฒนธรรมในประเทศ,งานเผยแพร่วัฒนธรรม
158,การแสดงนาฏศิลป์สร้างสรรค์,ล่องใต้,"ล่องใต้ เป็นการแสดงที่ได้แนวคิดมาจากศิลปวัฒนธรรมและวิถีชีวิต
ความเป็นอยู่ของประชากรทางภาคใต้อันมีเอกลักษณ์เฉพาะที่โดดเด่น
นําสู่การสร้างสรรค์การแสดงสื่อถึงประเพณี วัฒนธรรม วิถีชีวิต
ความเป็นอยู่ การประกอบอาชีพ โดยการแสดงสะท้อนให้เห็นถึงบรรยากาศ 
แห่งความสุข ความสนุกสนานของดินแดนภาคใต้",5,10," 10,000 ",การแสดงสร้างสรรค์,การเผยแพร่วัฒนธรรมต่างประเทศ,งานเผยแพร่วัฒนธรรม
159,การแสดงนาฏศิลป์สร้างสรรค์,ลายเกราะ,"ลายเกราะ เป็นการแสดงที่ได้แนวคิดมาจาก เกราะลอ หรือ ขอลอ
เครื่องดนตรีพื้นบ้านชนิดหนึ่งของภาคอีสาน นําเสนอผ่านท่ารําพื้นบ้านอีสาน
ที่มีความงดงาม ผสมผสานลีลาในการตีเกราะสนุกสนาน เร้าใจ
ด้วยท่วงทํานองของดนตรีพื้นบ้านอีสาน ",4,10," 8,000 ",การแสดงสร้างสรรค์,วันสงกรานต์,งานเทศกาล
160,การแสดงนาฏศิลป์สร้างสรรค์,ลายเกราะ,"ลายเกราะ เป็นการแสดงที่ได้แนวคิดมาจาก เกราะลอ หรือ ขอลอ
เครื่องดนตรีพื้นบ้านชนิดหนึ่งของภาคอีสาน นําเสนอผ่านท่ารําพื้นบ้านอีสาน
ที่มีความงดงาม ผสมผสานลีลาในการตีเกราะสนุกสนาน เร้าใจ
ด้วยท่วงทํานองของดนตรีพื้นบ้านอีสาน ",4,10," 8,000 ",การแสดงสร้างสรรค์,วันขึ้นปีใหม่,งานเทศกาล
161,การแสดงนาฏศิลป์สร้างสรรค์,ลายเกราะ,"ลายเกราะ เป็นการแสดงที่ได้แนวคิดมาจาก เกราะลอ หรือ ขอลอ
เครื่องดนตรีพื้นบ้านชนิดหนึ่งของภาคอีสาน นําเสนอผ่านท่ารําพื้นบ้านอีสาน
ที่มีความงดงาม ผสมผสานลีลาในการตีเกราะสนุกสนาน เร้าใจ
ด้วยท่วงทํานองของดนตรีพื้นบ้านอีสาน ",4,10," 8,000 ",การแสดงสร้างสรรค์,การเผยแพร่วัฒนธรรมในประเทศ,งานเผยแพร่วัฒนธรรม
162,การแสดงนาฏศิลป์สร้างสรรค์,ลายเกราะ,"ลายเกราะ เป็นการแสดงที่ได้แนวคิดมาจาก เกราะลอ หรือ ขอลอ
เครื่องดนตรีพื้นบ้านชนิดหนึ่งของภาคอีสาน นําเสนอผ่านท่ารําพื้นบ้านอีสาน
ที่มีความงดงาม ผสมผสานลีลาในการตีเกราะสนุกสนาน เร้าใจ
ด้วยท่วงทํานองของดนตรีพื้นบ้านอีสาน ",4,10," 8,000 ",การแสดงสร้างสรรค์,การเผยแพร่วัฒนธรรมต่างประเทศ,งานเผยแพร่วัฒนธรรม
