Words,lvl1,lvl2,lvl3,agreement,n_models,consensus_label,artifact_id
นางฟ้า,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน,นามานุกรมและประเภทตัวละคร,เทวปกรณ์ อสูร และอมนุษย์,1.0,4,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน||นามานุกรมและประเภทตัวละคร||เทวปกรณ์ อสูร และอมนุษย์,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน > นามานุกรมและประเภทตัวละคร > เทวปกรณ์ อสูร และอมนุษย์
นางรื่น,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน,นามานุกรมและประเภทตัวละคร,ตัวละครหลักและบทบาทในบทละคร,1.0,4,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน||นามานุกรมและประเภทตัวละคร||ตัวละครหลักและบทบาทในบทละคร,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน > นามานุกรมและประเภทตัวละคร > ตัวละครหลักและบทบาทในบทละคร
นางสวาหะ,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน,นามานุกรมและประเภทตัวละคร,ตัวละครหลักและบทบาทในบทละคร,1.0,4,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน||นามานุกรมและประเภทตัวละคร||ตัวละครหลักและบทบาทในบทละคร,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน > นามานุกรมและประเภทตัวละคร > ตัวละครหลักและบทบาทในบทละคร
นางสีดา,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน,นามานุกรมและประเภทตัวละคร,ตัวละครหลักและบทบาทในบทละคร,1.0,4,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน||นามานุกรมและประเภทตัวละคร||ตัวละครหลักและบทบาทในบทละคร,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน > นามานุกรมและประเภทตัวละคร > ตัวละครหลักและบทบาทในบทละคร
นางอัปสราบายน,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน,นามานุกรมและประเภทตัวละคร,เทวปกรณ์ อสูร และอมนุษย์,0.75,4,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน||นามานุกรมและประเภทตัวละคร||เทวปกรณ์ อสูร และอมนุษย์,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน > นามานุกรมและประเภทตัวละคร > เทวปกรณ์ อสูร และอมนุษย์
นางเอก,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน,นามานุกรมและประเภทตัวละคร,ตัวละครหลักและบทบาทในบทละคร,0.5,4,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน||นามานุกรมและประเภทตัวละคร||ตัวละครหลักและบทบาทในบทละคร,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน > นามานุกรมและประเภทตัวละคร > ตัวละครหลักและบทบาทในบทละคร
นางโรย,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน,นามานุกรมและประเภทตัวละคร,ตัวละครหลักและบทบาทในบทละคร,1.0,4,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน||นามานุกรมและประเภทตัวละคร||ตัวละครหลักและบทบาทในบทละคร,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน > นามานุกรมและประเภทตัวละคร > ตัวละครหลักและบทบาทในบทละคร
นางใน,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน,นามานุกรมและประเภทตัวละคร,ตัวละครหลักและบทบาทในบทละคร,0.5,4,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน||นามานุกรมและประเภทตัวละคร||ตัวละครหลักและบทบาทในบทละคร,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน > นามานุกรมและประเภทตัวละคร > ตัวละครหลักและบทบาทในบทละคร
นาฏศิลป์อินเดีย,ศิลปะการแสดงและดนตรี,นาฏยศิลป์และการแสดง,รูปแบบการแสดงและนาฏศิลป์ท้องถิ่น,0.5,4,ศิลปะการแสดงและดนตรี||นาฏยศิลป์และการแสดง||รูปแบบการแสดงและนาฏศิลป์ท้องถิ่น,ศิลปะการแสดงและดนตรี > นาฏยศิลป์และการแสดง > รูปแบบการแสดงและนาฏศิลป์ท้องถิ่น
นานาชาติ,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่,ภูมิศาสตร์และอาณาบริเวณ,เขตปกครองและภูมิภาค,0.5,4,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่||ภูมิศาสตร์และอาณาบริเวณ||เขตปกครองและภูมิภาค,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่ > ภูมิศาสตร์และอาณาบริเวณ > เขตปกครองและภูมิภาค
นายขวัญ,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน,นามานุกรมและประเภทตัวละคร,ตัวละครหลักและบทบาทในบทละคร,0.5,4,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน||นามานุกรมและประเภทตัวละคร||ตัวละครหลักและบทบาทในบทละคร,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน > นามานุกรมและประเภทตัวละคร > ตัวละครหลักและบทบาทในบทละคร
นายแก้ว,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน,นามานุกรมและประเภทตัวละคร,ตัวละครหลักและบทบาทในบทละคร,1.0,4,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน||นามานุกรมและประเภทตัวละคร||ตัวละครหลักและบทบาทในบทละคร,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน > นามานุกรมและประเภทตัวละคร > ตัวละครหลักและบทบาทในบทละคร
นิลพาหุ,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน,นามานุกรมและประเภทตัวละคร,เทวปกรณ์ อสูร และอมนุษย์,1.0,4,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน||นามานุกรมและประเภทตัวละคร||เทวปกรณ์ อสูร และอมนุษย์,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน > นามานุกรมและประเภทตัวละคร > เทวปกรณ์ อสูร และอมนุษย์
นิ้วเพชร,พิธีกรรม ความเชื่อ และจารีตวัฒนธรรม,คติความเชื่อและไสยศาสตร์,การขจัดปัดเป่าและอำนาจเหนือธรรมชาติ,0.25,4,พิธีกรรม ความเชื่อ และจารีตวัฒนธรรม||คติความเชื่อและไสยศาสตร์||การขจัดปัดเป่าและอำนาจเหนือธรรมชาติ,พิธีกรรม ความเชื่อ และจารีตวัฒนธรรม > คติความเชื่อและไสยศาสตร์ > การขจัดปัดเป่าและอำนาจเหนือธรรมชาติ
น้องสาว,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต,โครงสร้างสังคมและบุคคลสำคัญ,ฐานันดรศักดิ์และบทบาททางสังคม,0.5,4,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต||โครงสร้างสังคมและบุคคลสำคัญ||ฐานันดรศักดิ์และบทบาททางสังคม,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต > โครงสร้างสังคมและบุคคลสำคัญ > ฐานันดรศักดิ์และบทบาททางสังคม
น้อยใจยา,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน,นามานุกรมและประเภทตัวละคร,ตัวละครหลักและบทบาทในบทละคร,0.75,4,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน||นามานุกรมและประเภทตัวละคร||ตัวละครหลักและบทบาทในบทละคร,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน > นามานุกรมและประเภทตัวละคร > ตัวละครหลักและบทบาทในบทละคร
น้ำมันยาง,วัฒนธรรมวัตถุ ศิลปกรรม และงานช่าง,วัสดุและอัญมณี,วัสดุธรรมชาติและรัตนชาติ,1.0,4,วัฒนธรรมวัตถุ ศิลปกรรม และงานช่าง||วัสดุและอัญมณี||วัสดุธรรมชาติและรัตนชาติ,วัฒนธรรมวัตถุ ศิลปกรรม และงานช่าง > วัสดุและอัญมณี > วัสดุธรรมชาติและรัตนชาติ
บทร้อง,ศิลปะการแสดงและดนตรี,ดุริยางคศิลป์และคีตศิลป์,ระเบียบวิธีทางดนตรีและประเภทบทเพลง,0.75,4,ศิลปะการแสดงและดนตรี||ดุริยางคศิลป์และคีตศิลป์||ระเบียบวิธีทางดนตรีและประเภทบทเพลง,ศิลปะการแสดงและดนตรี > ดุริยางคศิลป์และคีตศิลป์ > ระเบียบวิธีทางดนตรีและประเภทบทเพลง
บทละคร,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน,นามานุกรมและประเภทตัวละคร,ตัวละครหลักและบทบาทในบทละคร,0.75,4,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน||นามานุกรมและประเภทตัวละคร||ตัวละครหลักและบทบาทในบทละคร,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน > นามานุกรมและประเภทตัวละคร > ตัวละครหลักและบทบาทในบทละคร
บรรพต,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่,ภูมิศาสตร์และอาณาบริเวณ,พื้นที่ในคติความเชื่อและประวัติศาสตร์,0.5,4,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่||ภูมิศาสตร์และอาณาบริเวณ||พื้นที่ในคติความเชื่อและประวัติศาสตร์,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่ > ภูมิศาสตร์และอาณาบริเวณ > พื้นที่ในคติความเชื่อและประวัติศาสตร์
บรรพบุรุษ,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต,โครงสร้างสังคมและบุคคลสำคัญ,ฐานันดรศักดิ์และบทบาททางสังคม,0.5,4,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต||โครงสร้างสังคมและบุคคลสำคัญ||ฐานันดรศักดิ์และบทบาททางสังคม,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต > โครงสร้างสังคมและบุคคลสำคัญ > ฐานันดรศักดิ์และบทบาททางสังคม
บริวาร,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต,โครงสร้างสังคมและบุคคลสำคัญ,ฐานันดรศักดิ์และบทบาททางสังคม,1.0,4,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต||โครงสร้างสังคมและบุคคลสำคัญ||ฐานันดรศักดิ์และบทบาททางสังคม,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต > โครงสร้างสังคมและบุคคลสำคัญ > ฐานันดรศักดิ์และบทบาททางสังคม
บอกทาง,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่,ภูมิศาสตร์และอาณาบริเวณ,เขตปกครองและภูมิภาค,0.5,4,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่||ภูมิศาสตร์และอาณาบริเวณ||เขตปกครองและภูมิภาค,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่ > ภูมิศาสตร์และอาณาบริเวณ > เขตปกครองและภูมิภาค
บินหนี,ศิลปะการแสดงและดนตรี,นาฏยศิลป์และการแสดง,กระบวนท่ารำและจารีตการแสดง,0.5,4,ศิลปะการแสดงและดนตรี||นาฏยศิลป์และการแสดง||กระบวนท่ารำและจารีตการแสดง,ศิลปะการแสดงและดนตรี > นาฏยศิลป์และการแสดง > กระบวนท่ารำและจารีตการแสดง
บุตรชาย,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน,สถานภาพและลำดับชั้นทางสังคมในวรรณกรรม,ฐานันดรศักดิ์และระบบเครือญาติ,0.5,4,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน||สถานภาพและลำดับชั้นทางสังคมในวรรณกรรม||ฐานันดรศักดิ์และระบบเครือญาติ,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน > สถานภาพและลำดับชั้นทางสังคมในวรรณกรรม > ฐานันดรศักดิ์และระบบเครือญาติ
บุปเพสันนิวาส,พิธีกรรม ความเชื่อ และจารีตวัฒนธรรม,ระบบความเชื่อและศาสนา,คติทางศาสนาและสิ่งศักดิ์สิทธิ์,0.25,4,พิธีกรรม ความเชื่อ และจารีตวัฒนธรรม||ระบบความเชื่อและศาสนา||คติทางศาสนาและสิ่งศักดิ์สิทธิ์,พิธีกรรม ความเชื่อ และจารีตวัฒนธรรม > ระบบความเชื่อและศาสนา > คติทางศาสนาและสิ่งศักดิ์สิทธิ์
บุรี,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่,ภูมิศาสตร์และอาณาบริเวณ,เขตปกครองและภูมิภาค,0.5,4,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่||ภูมิศาสตร์และอาณาบริเวณ||เขตปกครองและภูมิภาค,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่ > ภูมิศาสตร์และอาณาบริเวณ > เขตปกครองและภูมิภาค
บุรีรัมย์,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่,ภูมิศาสตร์และอาณาบริเวณ,เขตปกครองและภูมิภาค,1.0,4,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่||ภูมิศาสตร์และอาณาบริเวณ||เขตปกครองและภูมิภาค,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่ > ภูมิศาสตร์และอาณาบริเวณ > เขตปกครองและภูมิภาค
บุษราคัม,วัฒนธรรมวัตถุ ศิลปกรรม และงานช่าง,วัสดุและอัญมณี,วัสดุธรรมชาติและรัตนชาติ,0.75,4,วัฒนธรรมวัตถุ ศิลปกรรม และงานช่าง||วัสดุและอัญมณี||วัสดุธรรมชาติและรัตนชาติ,วัฒนธรรมวัตถุ ศิลปกรรม และงานช่าง > วัสดุและอัญมณี > วัสดุธรรมชาติและรัตนชาติ
บุหงา,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต,วิถีชีวิตและพฤติกรรมทางสังคม,จารีตการปฏิบัติและพรรณไม้ในวิถีชีวิต,0.5,4,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต||วิถีชีวิตและพฤติกรรมทางสังคม||จารีตการปฏิบัติและพรรณไม้ในวิถีชีวิต,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต > วิถีชีวิตและพฤติกรรมทางสังคม > จารีตการปฏิบัติและพรรณไม้ในวิถีชีวิต
บุหรงซีงอ,ศิลปะการแสดงและดนตรี,ดุริยางคศิลป์และคีตศิลป์,ระเบียบวิธีทางดนตรีและประเภทบทเพลง,0.25,4,ศิลปะการแสดงและดนตรี||ดุริยางคศิลป์และคีตศิลป์||ระเบียบวิธีทางดนตรีและประเภทบทเพลง,ศิลปะการแสดงและดนตรี > ดุริยางคศิลป์และคีตศิลป์ > ระเบียบวิธีทางดนตรีและประเภทบทเพลง
บูชาครู,พิธีกรรม ความเชื่อ และจารีตวัฒนธรรม,จารีตประเพณีและพิธีกรรม,พิธีการสำคัญและจารีตทางสังคม,1.0,4,พิธีกรรม ความเชื่อ และจารีตวัฒนธรรม||จารีตประเพณีและพิธีกรรม||พิธีการสำคัญและจารีตทางสังคม,พิธีกรรม ความเชื่อ และจารีตวัฒนธรรม > จารีตประเพณีและพิธีกรรม > พิธีการสำคัญและจารีตทางสังคม
บูชายัญ,พิธีกรรม ความเชื่อ และจารีตวัฒนธรรม,จารีตประเพณีและพิธีกรรม,พิธีการสำคัญและจารีตทางสังคม,1.0,4,พิธีกรรม ความเชื่อ และจารีตวัฒนธรรม||จารีตประเพณีและพิธีกรรม||พิธีการสำคัญและจารีตทางสังคม,พิธีกรรม ความเชื่อ และจารีตวัฒนธรรม > จารีตประเพณีและพิธีกรรม > พิธีการสำคัญและจารีตทางสังคม
ปรศุราม,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน,นามานุกรมและประเภทตัวละคร,เทวปกรณ์ อสูร และอมนุษย์,0.5,4,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน||นามานุกรมและประเภทตัวละคร||เทวปกรณ์ อสูร และอมนุษย์,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน > นามานุกรมและประเภทตัวละคร > เทวปกรณ์ อสูร และอมนุษย์
ประชิดตัว,ศิลปะการแสดงและดนตรี,นาฏยศิลป์และการแสดง,กระบวนท่ารำและจารีตการแสดง,0.5,4,ศิลปะการแสดงและดนตรี||นาฏยศิลป์และการแสดง||กระบวนท่ารำและจารีตการแสดง,ศิลปะการแสดงและดนตรี > นาฏยศิลป์และการแสดง > กระบวนท่ารำและจารีตการแสดง
ประติมากรรม,วัฒนธรรมวัตถุ ศิลปกรรม และงานช่าง,ประณีตศิลป์และทัศนศิลป์,งานช่างศิลปกรรมและเทคนิควิธี,1.0,4,วัฒนธรรมวัตถุ ศิลปกรรม และงานช่าง||ประณีตศิลป์และทัศนศิลป์||งานช่างศิลปกรรมและเทคนิควิธี,วัฒนธรรมวัตถุ ศิลปกรรม และงานช่าง > ประณีตศิลป์และทัศนศิลป์ > งานช่างศิลปกรรมและเทคนิควิธี
ประทาน,พิธีกรรม ความเชื่อ และจารีตวัฒนธรรม,จารีตประเพณีและพิธีกรรม,พิธีการสำคัญและจารีตทางสังคม,0.5,4,พิธีกรรม ความเชื่อ และจารีตวัฒนธรรม||จารีตประเพณีและพิธีกรรม||พิธีการสำคัญและจารีตทางสังคม,พิธีกรรม ความเชื่อ และจารีตวัฒนธรรม > จารีตประเพณีและพิธีกรรม > พิธีการสำคัญและจารีตทางสังคม
ปราชัย,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่,ยุคสมัยและเหตุการณ์สำคัญ,ลำดับเวลาและประวัติศาสตร์การสงคราม,0.5,4,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่||ยุคสมัยและเหตุการณ์สำคัญ||ลำดับเวลาและประวัติศาสตร์การสงคราม,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่ > ยุคสมัยและเหตุการณ์สำคัญ > ลำดับเวลาและประวัติศาสตร์การสงคราม
ปราสาทพนมรุ้ง,วัฒนธรรมวัตถุ ศิลปกรรม และงานช่าง,สถาปัตยกรรมและพุทธศิลป์,ศาสนสถานและปูชนียวัตถุ,0.75,4,วัฒนธรรมวัตถุ ศิลปกรรม และงานช่าง||สถาปัตยกรรมและพุทธศิลป์||ศาสนสถานและปูชนียวัตถุ,วัฒนธรรมวัตถุ ศิลปกรรม และงานช่าง > สถาปัตยกรรมและพุทธศิลป์ > ศาสนสถานและปูชนียวัตถุ
ปราสาทพระขรรค์,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่,พื้นที่ทางวัฒนธรรมและสถาบัน,สถานที่จัดแสดงและเขตพระราชฐาน,0.5,4,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่||พื้นที่ทางวัฒนธรรมและสถาบัน||สถานที่จัดแสดงและเขตพระราชฐาน,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่ > พื้นที่ทางวัฒนธรรมและสถาบัน > สถานที่จัดแสดงและเขตพระราชฐาน
ปราสาทหินพิมาย,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่,ภูมิศาสตร์และอาณาบริเวณ,พื้นที่ในคติความเชื่อและประวัติศาสตร์,0.5,4,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่||ภูมิศาสตร์และอาณาบริเวณ||พื้นที่ในคติความเชื่อและประวัติศาสตร์,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่ > ภูมิศาสตร์และอาณาบริเวณ > พื้นที่ในคติความเชื่อและประวัติศาสตร์
ปราสาทเมืองสิงห์,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่,ภูมิศาสตร์และอาณาบริเวณ,พื้นที่ในคติความเชื่อและประวัติศาสตร์,0.5,4,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่||ภูมิศาสตร์และอาณาบริเวณ||พื้นที่ในคติความเชื่อและประวัติศาสตร์,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่ > ภูมิศาสตร์และอาณาบริเวณ > พื้นที่ในคติความเชื่อและประวัติศาสตร์
ปัดเป่า,พิธีกรรม ความเชื่อ และจารีตวัฒนธรรม,คติความเชื่อและไสยศาสตร์,การขจัดปัดเป่าและอำนาจเหนือธรรมชาติ,1.0,4,พิธีกรรม ความเชื่อ และจารีตวัฒนธรรม||คติความเชื่อและไสยศาสตร์||การขจัดปัดเป่าและอำนาจเหนือธรรมชาติ,พิธีกรรม ความเชื่อ และจารีตวัฒนธรรม > คติความเชื่อและไสยศาสตร์ > การขจัดปัดเป่าและอำนาจเหนือธรรมชาติ
ปัตตานี,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่,ภูมิศาสตร์และอาณาบริเวณ,เขตปกครองและภูมิภาค,1.0,4,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่||ภูมิศาสตร์และอาณาบริเวณ||เขตปกครองและภูมิภาค,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่ > ภูมิศาสตร์และอาณาบริเวณ > เขตปกครองและภูมิภาค
ปางลีลา,วัฒนธรรมวัตถุ ศิลปกรรม และงานช่าง,สถาปัตยกรรมและพุทธศิลป์,ศาสนสถานและปูชนียวัตถุ,0.5,4,วัฒนธรรมวัตถุ ศิลปกรรม และงานช่าง||สถาปัตยกรรมและพุทธศิลป์||ศาสนสถานและปูชนียวัตถุ,วัฒนธรรมวัตถุ ศิลปกรรม และงานช่าง > สถาปัตยกรรมและพุทธศิลป์ > ศาสนสถานและปูชนียวัตถุ
ปารวตี,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน,นามานุกรมและประเภทตัวละคร,เทวปกรณ์ อสูร และอมนุษย์,0.75,4,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน||นามานุกรมและประเภทตัวละคร||เทวปกรณ์ อสูร และอมนุษย์,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน > นามานุกรมและประเภทตัวละคร > เทวปกรณ์ อสูร และอมนุษย์
ปิดหน้า,ศิลปะการแสดงและดนตรี,นาฏยศิลป์และการแสดง,กระบวนท่ารำและจารีตการแสดง,0.75,4,ศิลปะการแสดงและดนตรี||นาฏยศิลป์และการแสดง||กระบวนท่ารำและจารีตการแสดง,ศิลปะการแสดงและดนตรี > นาฏยศิลป์และการแสดง > กระบวนท่ารำและจารีตการแสดง
ปูนปั้น,วัฒนธรรมวัตถุ ศิลปกรรม และงานช่าง,ประณีตศิลป์และทัศนศิลป์,งานช่างศิลปกรรมและเทคนิควิธี,1.0,4,วัฒนธรรมวัตถุ ศิลปกรรม และงานช่าง||ประณีตศิลป์และทัศนศิลป์||งานช่างศิลปกรรมและเทคนิควิธี,วัฒนธรรมวัตถุ ศิลปกรรม และงานช่าง > ประณีตศิลป์และทัศนศิลป์ > งานช่างศิลปกรรมและเทคนิควิธี
ป้องกันตัว,ศิลปะการแสดงและดนตรี,บุคลากรและทักษะทางศิลปะ,กลวิธีและสมรรถนะการแสดง,0.5,4,ศิลปะการแสดงและดนตรี||บุคลากรและทักษะทางศิลปะ||กลวิธีและสมรรถนะการแสดง,ศิลปะการแสดงและดนตรี > บุคลากรและทักษะทางศิลปะ > กลวิธีและสมรรถนะการแสดง
ผางประทีป,พิธีกรรม ความเชื่อ และจารีตวัฒนธรรม,จารีตประเพณีและพิธีกรรม,พิธีการสำคัญและจารีตทางสังคม,0.75,4,พิธีกรรม ความเชื่อ และจารีตวัฒนธรรม||จารีตประเพณีและพิธีกรรม||พิธีการสำคัญและจารีตทางสังคม,พิธีกรรม ความเชื่อ และจารีตวัฒนธรรม > จารีตประเพณีและพิธีกรรม > พิธีการสำคัญและจารีตทางสังคม
ผีภู,พิธีกรรม ความเชื่อ และจารีตวัฒนธรรม,คติความเชื่อและไสยศาสตร์,การขจัดปัดเป่าและอำนาจเหนือธรรมชาติ,0.5,4,พิธีกรรม ความเชื่อ และจารีตวัฒนธรรม||คติความเชื่อและไสยศาสตร์||การขจัดปัดเป่าและอำนาจเหนือธรรมชาติ,พิธีกรรม ความเชื่อ และจารีตวัฒนธรรม > คติความเชื่อและไสยศาสตร์ > การขจัดปัดเป่าและอำนาจเหนือธรรมชาติ
ผึ่งแดด,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต,วิถีชีวิตและพฤติกรรมทางสังคม,จารีตการปฏิบัติและพรรณไม้ในวิถีชีวิต,1.0,4,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต||วิถีชีวิตและพฤติกรรมทางสังคม||จารีตการปฏิบัติและพรรณไม้ในวิถีชีวิต,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต > วิถีชีวิตและพฤติกรรมทางสังคม > จารีตการปฏิบัติและพรรณไม้ในวิถีชีวิต
ผู้ครองนคร,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต,โครงสร้างสังคมและบุคคลสำคัญ,ฐานันดรศักดิ์และบทบาททางสังคม,0.75,4,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต||โครงสร้างสังคมและบุคคลสำคัญ||ฐานันดรศักดิ์และบทบาททางสังคม,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต > โครงสร้างสังคมและบุคคลสำคัญ > ฐานันดรศักดิ์และบทบาททางสังคม
ผู้มีพระคุณ,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต,โครงสร้างสังคมและบุคคลสำคัญ,ฐานันดรศักดิ์และบทบาททางสังคม,1.0,4,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต||โครงสร้างสังคมและบุคคลสำคัญ||ฐานันดรศักดิ์และบทบาททางสังคม,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต > โครงสร้างสังคมและบุคคลสำคัญ > ฐานันดรศักดิ์และบทบาททางสังคม
ผู้แสดงฝ่ายชาย,ศิลปะการแสดงและดนตรี,บุคลากรและทักษะทางศิลปะ,กลวิธีและสมรรถนะการแสดง,0.75,4,ศิลปะการแสดงและดนตรี||บุคลากรและทักษะทางศิลปะ||กลวิธีและสมรรถนะการแสดง,ศิลปะการแสดงและดนตรี > บุคลากรและทักษะทางศิลปะ > กลวิธีและสมรรถนะการแสดง
ผู้แสดงฝ่ายหญิง,ศิลปะการแสดงและดนตรี,บุคลากรและทักษะทางศิลปะ,กลวิธีและสมรรถนะการแสดง,1.0,4,ศิลปะการแสดงและดนตรี||บุคลากรและทักษะทางศิลปะ||กลวิธีและสมรรถนะการแสดง,ศิลปะการแสดงและดนตรี > บุคลากรและทักษะทางศิลปะ > กลวิธีและสมรรถนะการแสดง
ผ้าไหม,วัฒนธรรมวัตถุ ศิลปกรรม และงานช่าง,วัสดุและอัญมณี,วัสดุธรรมชาติและรัตนชาติ,0.5,4,วัฒนธรรมวัตถุ ศิลปกรรม และงานช่าง||วัสดุและอัญมณี||วัสดุธรรมชาติและรัตนชาติ,วัฒนธรรมวัตถุ ศิลปกรรม และงานช่าง > วัสดุและอัญมณี > วัสดุธรรมชาติและรัตนชาติ
